slim_id,ne,m0,m1,m,s,gen,length,h
6036124264239,1000,0.167,0.833,1e-8,1e-1,10000,172126628,0
6035134260963,1000,0.5,0.5,1e-8,1e-1,10000,172126628,0
6034654257673,1000,0.9833,0.0067,1e-8,1e-1,10000,172126628,0
6202839218131,1000,0.167,0.833,1e-8,1e-2,10000,172126628,0
6203319220922,1000,0.5,0.5,1e-8,1e-2,10000,172126628,0
6203799224177,1000,0.9833,0.0067,1e-8,1e-2,10000,172126628,0
6202359212987,1000,0.167,0.833,1e-8,1e-3,10000,172126628,0
6034174245857,1000,0.5,0.5,1e-8,1e-3,10000,172126628,0
6201819207629,1000,0.9833,0.0067,1e-8,1e-3,10000,172126628,0
