slim_id,ne,m0,m1,m,s,gen,length,h
38529473567400,1000,0.167,0.833,1e-8,0.1,10000,172126628,0
37793904922392,1000,0.5,0.5,1e-8,0.1,10000,172126628,0
39387548631706,1000,0.9833,0.0067,1e-8,0.1,10000,172126628,0
37798095080406,1000,0.167,0.833,1e-8,0.01,10000,172126628,0
37766983524162,1000,0.5,0.5,1e-8,0.01,10000,172126628,0
37533403784008,1000,0.9833,0.0067,1e-8,0.01,10000,172126628,0
37530833616656,1000,0.167,0.833,1e-8,0.001,10000,172126628,0
37531003626066,1000,0.5,0.5,1e-8,0.001,10000,172126628,0
37531923684080,1000,0.9833,0.0067,1e-8,0.001,10000,172126628,0
