slim_id,ne,m0,m1,m,s,gen,length,h
18634307559276,1000,0.167,0.833,1e-8,0.1,10000,172126628,0.5
18631177394350,1000,0.5,0.5,1e-8,0.1,10000,172126628,0.5
18636627650013,1000,0.9833,0.0067,1e-8,0.1,10000,172126628,0.5
18633287535901,1000,0.167,0.833,1e-8,0.01,10000,172126628,0.5
18630227383877,1000,0.5,0.5,1e-8,0.01,10000,172126628,0.5
18636637661063,1000,0.9833,0.0067,1e-8,0.01,10000,172126628,0.5
18625997234762,1000,0.167,0.833,1e-8,0.001,10000,172126628,0.5
18625097181748,1000,0.5,0.5,1e-8,0.001,10000,172126628,0.5
18626947273379,1000,0.9833,0.0067,1e-8,0.001,10000,172126628,0.5
